run_id,date,strategy,params,n_queries,pair_recall,entity_full_coverage,oracle_f05,cands_mean,cands_p50,cands_p95,cands_max,zero_cand_share,reduction_ratio,seconds,sec_per_1k_queries,peak_rss_gb
blk_baseline_20000_20260926_122100,2026-09-26,name_exact,max_group=50,20000,0.28756,0.042562,0.520032,7.5976,2.0,39.0,99,0.23185,0.999999,1.04,0.052,1.65
blk_baseline_20000_20260926_122100,2026-09-26,name_core,max_group=50,20000,0.488654,0.158232,0.694852,12.14655,3.0,64.0,99,0.14265,0.999999,1.2,0.06,1.66
blk_baseline_20000_20260926_122100,2026-09-26,addr_exact,max_group=50,20000,0.124026,0.01117,0.269737,0.5248,0.0,2.0,17,0.6869,1.0,0.59,0.03,1.68
blk_baseline_20000_20260926_122100,2026-09-26,addr_set,max_group=50,20000,0.186428,0.020011,0.364649,0.79085,0.0,3.0,20,0.5644,1.0,0.76,0.038,1.68
blk_baseline_20000_20260926_122100,2026-09-26,tfidf_n,"{""namespaces"": ""n"", ""cap_df"": 20000, ""top_r"": 300, ""top_k"": 100, ""rescore"": true, ""work_budget"": 30000000.0}",20000,0.576231,0.370355,0.69034,193.7296,200.0,200.0,200,0.0,0.999981,39.86,1.993,3.51
blk_baseline_20000_20260926_122100,2026-09-26,tfidf_ab,"{""namespaces"": ""ab"", ""cap_df"": 20000, ""top_r"": 300, ""top_k"": 100, ""rescore"": true, ""work_budget"": 30000000.0}",20000,0.91274,0.756061,0.967489,199.8041,200.0,200.0,200,0.0,0.999981,58.47,2.923,3.51
blk_baseline_20000_20260926_122100,2026-09-26,tfidf_nab,"{""namespaces"": ""nab"", ""cap_df"": 20000, ""top_r"": 300, ""top_k"": 100, ""rescore"": true, ""work_budget"": 30000000.0}",20000,0.980441,0.941874,0.992693,199.98825,200.0,200.0,200,0.0,0.999981,90.98,4.549,3.51
blk_baseline_20000_20260926_122100,2026-09-26,tfidf_nab_norescore,"{""namespaces"": ""nab"", ""cap_df"": 20000, ""top_r"": 300, ""top_k"": 100, ""rescore"": false, ""work_budget"": 30000000.0}",20000,0.976543,0.931181,0.991389,199.98825,200.0,200.0,200,0.0,0.999981,81.72,4.086,3.51
blk_baseline_20000_20260926_122100,2026-09-26,tfidf_nab@5/source,top_k per source=5,20000,0.929355,0.808417,0.975805,10.0,10.0,10.0,10,0.0,0.999999,,,
blk_baseline_20000_20260926_122100,2026-09-26,tfidf_nab@10/source,top_k per source=10,20000,0.955641,0.87586,0.983928,20.0,20.0,20.0,20,0.0,0.999998,,,
blk_baseline_20000_20260926_122100,2026-09-26,tfidf_nab@20/source,top_k per source=20,20000,0.968243,0.908152,0.988434,40.0,40.0,40.0,40,0.0,0.999996,,,
blk_baseline_20000_20260926_122100,2026-09-26,tfidf_nab@30/source,top_k per source=30,20000,0.972588,0.920593,0.990028,59.9995,60.0,60.0,60,0.0,0.999994,,,
blk_baseline_20000_20260926_122100,2026-09-26,tfidf_nab@50/source,top_k per source=50,20000,0.976384,0.930492,0.991373,99.99835,100.0,100.0,100,0.0,0.99999,,,
blk_baseline_20000_20260926_122100,2026-09-26,tfidf_nab@100/source,top_k per source=100,20000,0.980441,0.941874,0.992693,199.98825,200.0,200.0,200,0.0,0.999981,,,
blk_baseline_20000_20260926_122100,2026-09-26,keys_all,name_exact+name_core+addr_exact+addr_set,20000,0.614672,0.248544,0.809766,16.20235,4.0,71.0,105,0.0547,0.999998,,,
blk_baseline_20000_20260926_122100,2026-09-26,tfidf_n+tfidf_ab,tfidf_n+tfidf_ab,20000,0.979098,0.941556,0.991665,391.2491,398.0,400.0,400,0.0,0.999962,,,
blk_baseline_20000_20260926_122100,2026-09-26,tfidf_nab+keys_all,tfidf_nab+name_exact+name_core+addr_exact+addr_set,20000,0.981393,0.943886,0.993124,211.6023,200.0,264.0,294,0.0,0.999979,,,
