run_id,date,stage,description,data_scope,n_s1_queries,key_params,recall_at_candidates,val_precision,val_recall,val_f0.5,notes
blk_baseline_20000_20260926_122100:name_exact,2026-09-26,blocking,name_exact,train fold 0 sample; pools = full train S2+S3,20000,max_group=50,0.28756,,,,oracle_f05=0.520032; cands_mean=7.6; RR=0.999999; sec=1.04; peak_gb=1.65
blk_baseline_20000_20260926_122100:name_core,2026-09-26,blocking,name_core,train fold 0 sample; pools = full train S2+S3,20000,max_group=50,0.488654,,,,oracle_f05=0.694852; cands_mean=12.1; RR=0.999999; sec=1.2; peak_gb=1.66
blk_baseline_20000_20260926_122100:addr_exact,2026-09-26,blocking,addr_exact,train fold 0 sample; pools = full train S2+S3,20000,max_group=50,0.124026,,,,oracle_f05=0.269737; cands_mean=0.5; RR=1.0; sec=0.59; peak_gb=1.68
blk_baseline_20000_20260926_122100:addr_set,2026-09-26,blocking,addr_set,train fold 0 sample; pools = full train S2+S3,20000,max_group=50,0.186428,,,,oracle_f05=0.364649; cands_mean=0.8; RR=1.0; sec=0.76; peak_gb=1.68
blk_baseline_20000_20260926_122100:tfidf_n,2026-09-26,blocking,tfidf_n,train fold 0 sample; pools = full train S2+S3,20000,"{""namespaces"": ""n"", ""cap_df"": 20000, ""top_r"": 300, ""top_k"": 100, ""rescore"": true, ""work_budget"": 30000000.0}",0.576231,,,,oracle_f05=0.69034; cands_mean=193.7; RR=0.999981; sec=39.86; peak_gb=3.51
blk_baseline_20000_20260926_122100:tfidf_ab,2026-09-26,blocking,tfidf_ab,train fold 0 sample; pools = full train S2+S3,20000,"{""namespaces"": ""ab"", ""cap_df"": 20000, ""top_r"": 300, ""top_k"": 100, ""rescore"": true, ""work_budget"": 30000000.0}",0.91274,,,,oracle_f05=0.967489; cands_mean=199.8; RR=0.999981; sec=58.47; peak_gb=3.51
blk_baseline_20000_20260926_122100:tfidf_nab,2026-09-26,blocking,tfidf_nab,train fold 0 sample; pools = full train S2+S3,20000,"{""namespaces"": ""nab"", ""cap_df"": 20000, ""top_r"": 300, ""top_k"": 100, ""rescore"": true, ""work_budget"": 30000000.0}",0.980441,,,,oracle_f05=0.992693; cands_mean=200.0; RR=0.999981; sec=90.98; peak_gb=3.51
blk_baseline_20000_20260926_122100:tfidf_nab_norescore,2026-09-26,blocking,tfidf_nab_norescore,train fold 0 sample; pools = full train S2+S3,20000,"{""namespaces"": ""nab"", ""cap_df"": 20000, ""top_r"": 300, ""top_k"": 100, ""rescore"": false, ""work_budget"": 30000000.0}",0.976543,,,,oracle_f05=0.991389; cands_mean=200.0; RR=0.999981; sec=81.72; peak_gb=3.51
blk_baseline_20000_20260926_122100:tfidf_nab@5/source,2026-09-26,blocking,tfidf_nab@5/source,train fold 0 sample; pools = full train S2+S3,20000,top_k per source=5,0.929355,,,,oracle_f05=0.975805; cands_mean=10.0; RR=0.999999; sec=; peak_gb=
blk_baseline_20000_20260926_122100:tfidf_nab@10/source,2026-09-26,blocking,tfidf_nab@10/source,train fold 0 sample; pools = full train S2+S3,20000,top_k per source=10,0.955641,,,,oracle_f05=0.983928; cands_mean=20.0; RR=0.999998; sec=; peak_gb=
blk_baseline_20000_20260926_122100:tfidf_nab@20/source,2026-09-26,blocking,tfidf_nab@20/source,train fold 0 sample; pools = full train S2+S3,20000,top_k per source=20,0.968243,,,,oracle_f05=0.988434; cands_mean=40.0; RR=0.999996; sec=; peak_gb=
blk_baseline_20000_20260926_122100:tfidf_nab@30/source,2026-09-26,blocking,tfidf_nab@30/source,train fold 0 sample; pools = full train S2+S3,20000,top_k per source=30,0.972588,,,,oracle_f05=0.990028; cands_mean=60.0; RR=0.999994; sec=; peak_gb=
blk_baseline_20000_20260926_122100:tfidf_nab@50/source,2026-09-26,blocking,tfidf_nab@50/source,train fold 0 sample; pools = full train S2+S3,20000,top_k per source=50,0.976384,,,,oracle_f05=0.991373; cands_mean=100.0; RR=0.99999; sec=; peak_gb=
blk_baseline_20000_20260926_122100:tfidf_nab@100/source,2026-09-26,blocking,tfidf_nab@100/source,train fold 0 sample; pools = full train S2+S3,20000,top_k per source=100,0.980441,,,,oracle_f05=0.992693; cands_mean=200.0; RR=0.999981; sec=; peak_gb=
blk_baseline_20000_20260926_122100:keys_all,2026-09-26,blocking,keys_all,train fold 0 sample; pools = full train S2+S3,20000,name_exact+name_core+addr_exact+addr_set,0.614672,,,,oracle_f05=0.809766; cands_mean=16.2; RR=0.999998; sec=; peak_gb=
